Name,City,Address,Latin,Working Hours,Activities,Numbers,WebPage,Instagram,Facebook,Latitude,Longitude
Рикомо,Штип,"Штип, К.Ј.Питу 23","Shtip, K.J.Pitu 23",Работно време: Пон - Пет од 12:00 до 19:00,"['винотеки (винарници)', 'гифт-шоп', 'киосци', 'трафики и тобако']",070 210431,http://,https://,https://,Not available,Not available
Антигона,Неготино,"Неготино, Железничка б.б.","Negotino, Zheleznichka b.b.", ,['винотеки (винарници)'],078 307830,http://www.antigonawinery.com.mk/,https://,https://,Not available,Not available
Пуклавец пријатели,Неготино,"Неготино, с.Долни Дисан","Negotino, s.Dolni Disan", ,['винотеки (винарници)'],070 252224,http://www.pfwineries.com/,https://,https://,41.4291019,22.0951754
ГД-Тиквеш,Кавадарци,"Кавадарци, Шишка 2","Kavadarci, Shishka 2",Работно време: Пон - Саб од 09:00 до 19:00 • Нед од 09:00 до 13:00,"['винотеки (винарници)', 'овошје - преработка', 'производство и трговија на големо', 'земјоделски задруги и здруженија']",043 415916,http://www.mk.gdtikveswinery.com/,https://www.instagram.com/gdtikveswinery/,https://,41.4388596,22.0190144
Интер лукс трејд,Скопје,"Скопје, Анкарска 29-а лок.3","Skopje, Ankarska 29-a lok.3", ,"['вина - трговија', 'винотеки (винарници)', 'вода - производство', 'минерална вода - трговија']",071 259512,http://www.interluxtrade.mk/,https://,https://,Not available,Not available
Чифлик,Битола,"Битола, с.Брусник 2/17","Bitola, s.Brusnik 2/17","Работно време: Пон - Сре , Чет , Нед од 08:00 до 00:00 • Пет - Саб од 08:00 до 01:00","['винотеки (винарници)', 'ресторани', 'хотели']",078 305369,http://,https://,https://,Not available,Not available
Фајн вајн,Скопје,"Скопје, Луј Пастер 5","Skopje, Luj Paster 5", ,['винотеки (винарници)'],071 256715,http://www.finewine.mk/,https://www.instagram.com/finewinemk/,https://www.facebook.com/FineWineMK/,41.993091,21.430158
Ено Бар,Скопје,"Скопје, бул.Илинден 160 лок.7","Skopje, bul.Ilinden 160 lok.7", ,"['кафе-барови и кафе-клубови', 'винотеки (винарници)', 'ресторани']",02 3090100,http://www.doxmenu.com/eno-bar,https://www.instagram.com/oeno_wine_bar/,https://www.facebook.com/Oeno-Wine-Bar-Deli-313457949359614/,Not available,Not available
Винум,Скопје,"Скопје, Јадранска магистрала (Качанички пат), с.Визбегово 135","Skopje, Jadranska magistrala (Kachanichki pat), s.Vizbegovo 135", ,"['вина - трговија', 'винотеки (винарници)']",075 332058,http://www.vinum.mk/,https://www.instagram.com/vinum_mkd/,https://www.facebook.com/vinum_mkd-107003784329519/,Not available,Not available
Патче,Охрид,"Охрид, Цар Самоил 60","Ohrid, Car Samoil 60", ,['винотеки (винарници)'],077 711014,http://,https://,https://,41.1122851,20.7964115
Де Ферментио,Делчево,"Делчево, Методија Митевски-Брицо 22","Delchevo, Metodija Mitevski-Brico 22", ,"['вина - производство', 'винотеки (винарници)']",070 945499,http://,https://,https://,Not available,Not available
Шато Камник,Скопје,"Скопје, Камник б.б.","Skopje, Kamnik b.b.", ,"['вина - трговија', 'винарски визби', 'вина - производство']",02 2523523,http://www.chateaukamnik.com/,https://www.instagram.com/chateaukamnikwinery/,https://www.facebook.com/pages/Chateau-Kamnik-Winery/44475678994,Not available,Not available
Ростфреи Мајор Инокс,Битола,"Битола, Довлеџик б.б., п.фах 204","Bitola, Dovledzhik b.b., p.fah 204",Работно време: Пон - Пет од 07:30 до 15:30,"['инокс метали - трговија', 'инокс метали - обработка', 'индустриска опрема и машинерија - производство']",047 220008,http://rostfrei-mi.com/,https://,https://,Not available,Not available
Тинг,Кочани,"Кочани, ул.566 17","Kochani, ul.566 17",Работно време: Пон - Пет од 07:00 до 15:00,"['инокс метали - обработка', '200 најуспешни', 'инокс метали - трговија', 'опрема за месарници', 'бојлери - производство и трговија', 'млекарство - машини и опрема']",033 297115,http://www.ting.com.mk/,https://,https://www.facebook.com/ting.inox/,Not available,Not available
Ан-би-та,Охрид,"Охрид, Железничка 117","Ohrid, Zheleznichka 117",Работно време: Пон - Саб од 08:00 до 16:00,"['градежни материјали', 'стоваришта']",046 255457,http://,https://,https://www.facebook.com/%D0%90%D0%BD-%D0%91%D0%B8-%D0%A2%D0%B0-297347530330998/,41.1254447,20.81313701036693
Кристи,Охрид,"Охрид, Железничка 139/2","Ohrid, Zheleznichka 139/2",Работно време: Пон - Саб од 08:00 до 17:00,"['градежни материјали', 'стоваришта', 'бои и лакови - трговија']",046 271540,http://,https://,https://www.facebook.com/stovariste.kristi/,41.1287859,20.7995287
МГ Компани,Кавадарци,"Кавадарци, Западен булевар б.б.","Kavadarci, Zapaden bulevar b.b.",Работно време: Пон - Пет од 09:00 до 19:00,"['автомобилски куќи и салони', 'моторцикли и скутери - трговија и дистрибуција', 'трактори']",043 411133,http://www.emge-kompani.com/,https://,https://,Not available,Not available
Кодкордиа,Скопје,"Скопје, Товарник 1/28","Skopje, Tovarnik 1/28",Работно време: Пон - Пет од 08:00 до 16:00,"['маркетинг на социјални медиуми', 'електронски-бизнис решенија', 'веб дизајн', 'интернет - веб хостинг', 'дизајнери - адвертајзинг и графички']",072 238405,http://www.codecordia.com/,https://www.instagram.com/codecordia/,https://www.facebook.com/codecordia,42.0071596,21.4974712
Агротехника Исток,Штип,"Штип, Железничка 39","Shtip, Zheleznichka 39",Работно време: Пон - Саб од 08:00 до 15:00,"['земјоделски машини и механизација -производство и трговија', 'земјоделски машини и механизација - опрема и сервис']",071 367690,http://,https://,https://,41.7532311,22.1731059
Партизан-Спортска Сала,Кавадарци,"Кавадарци, 7-ми Септември б.б.","Kavadarci, 7-mi Septemvri b.b.", ,"['спортски центри', 'објекти', 'игралишта и терени']",071 335081,http://,https://,https://,Not available,Not available
Темка Трејд,Кавадарци,"Кавадарци, Игман 23/4","Kavadarci, Igman 23/4", ,"['магацини за храна и производи за широка потрошувачка', 'храна - трговија на големо']",070 302239,http://,https://,https://,41.4365088,22.0053332
